Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,88102.4,115627.8,142333.0,173201.5,210998.3,250544.6,290213.4,369612.8,494814.8,620083.2,705076.5,861170.8,1041877.9,1261806.0,1535431.7,1849650.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,2604.2,3385.3,4236.2,5519.4,6887.2,8339.9,10524.5,13755.6,19372.3,23896.7,26136.6,30697.7,36667.6,40805.2,46299.8,54076.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,5058.8,6892.3,8487.3,11159.9,13331.4,15705.4,18376.6,22904.2,31623.2,39663.7,44097.9,50817.3,65233.4,80337.5,93026.3,107717.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,5131.6,6777.3,7949.5,9481.3,11729.4,14223.4,16594.9,19970.6,25773.6,33081.4,36621.6,44628.2,53714.9,63693.4,73434.1,86608.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2439.9,3350.4,4130.4,5040.6,6281.3,7458.5,8719.4,10893.2,14709.9,18553.0,20871.6,26338.6,31274.3,38570.3,43545.9,52956.7
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,7627.3,9806.9,12040.4,14126.3,16918.3,20220.7,23743.4,25848.1,31690.4,39011.2,42298.6,51181.1,59822.3,71425.0,83950.0,98783.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,4580.7,5613.9,6927.8,8241.3,9844.8,11191.5,12739.3,18456.2,27190.4,42400.1,60326.4,69162.2,78668.2,93651.5,130439.5,167964.6
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,3968.5,5469.3,6836.0,8431.8,10367.1,12567.1,15062.1,18609.5,22956.4,29384.4,34169.1,41993.6,50668.2,61074.9,71869.1,85419.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,7143.4,9005.3,10953.9,13691.5,17119.4,20481.8,25429.8,30938.3,37852.1,45037.4,49635.9,61599.3,71714.9,86313.3,103882.7,121489.5
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,3802.2,5779.1,7134.7,8388.8,10412.8,12577.0,13878.7,17310.5,21616.8,26239.2,28533.6,34694.1,40789.7,49208.9,56553.9,66186.5
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1856.9,2607.5,3204.1,3798.9,4579.1,5628.1,6802.1,8115.8,9992.6,13905.7,14676.8,17318.2,20746.6,24873.0,28655.5,35794.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,8347.3,11169.1,13960.8,17104.7,20824.7,24435.7,26724.2,33619.1,45784.6,62375.4,74685.6,94668.7,105520.0,124087.1,151251.8,180177.4
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,6209.9,8326.1,10418.0,12743.8,15810.6,18988.4,21206.6,25148.1,33037.2,40207.5,45653.1,58406.3,68370.1,81573.3,93605.7,111305.3
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,3197.0,4309.4,5324.1,6558.5,8178.3,9971.0,11568.7,13548.2,18184.2,22262.8,24668.3,30907.3,38927.4,45358.6,53640.0,62987.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,11863.8,15346.0,19021.5,23060.0,28294.7,34080.0,42307.8,57710.0,75074.2,99397.2,111465.3,144477.1,178973.3,222926.1,302878.5,367222.3
