Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Republic of Uzbekistan,200951.0,214084.0,228736.0,229177.0,241201.0,246687.0,257758.0,268428.0,285531.0,323517.0,398133.0,475197.0,528929.0,592371.0,485024.0,424840.0,474899.0
Republic of Karakalpakstan,9835.0,10370.0,11300.0,11274.0,11306.0,12234.0,12552.0,12946.0,13742.0,15590.0,18404.0,21968.0,23721.0,26692.0,25928.0,21001.0,23747.0
Andijan region,18070.0,20041.0,21815.0,22606.0,23991.0,24835.0,26048.0,26278.0,24644.0,27391.0,30740.0,36726.0,40474.0,44658.0,29717.0,25163.0,27002.0
Bukhara region,12360.0,13055.0,13057.0,12403.0,11468.0,12082.0,13828.0,14809.0,15625.0,18115.0,23459.0,28233.0,31160.0,33686.0,31203.0,26186.0,28831.0
Jizzakh region,7243.0,7961.0,9184.0,9053.0,9414.0,9722.0,10076.0,10694.0,12008.0,14226.0,17190.0,20993.0,22714.0,25847.0,19923.0,16606.0,18461.0
Kashkadarya region,15627.0,18078.0,20347.0,20437.0,19868.0,19570.0,18557.0,18005.0,18471.0,20915.0,25259.0,30180.0,36168.0,41612.0,33064.0,27456.0,30424.0
Navoi region,7024.0,7249.0,7857.0,7919.0,8062.0,8127.0,8533.0,8771.0,9469.0,11175.0,17067.0,20133.0,22711.0,25179.0,21880.0,18515.0,20982.0
Namangan region,13207.0,14289.0,14569.0,15076.0,15953.0,16698.0,17695.0,18746.0,19952.0,21269.0,25909.0,30882.0,33422.0,36914.0,27634.0,23920.0,27097.0
Samarkand region,15161.0,15300.0,17223.0,16497.0,17403.0,17610.0,18553.0,19435.0,21061.0,25066.0,31354.0,38946.0,46667.0,54163.0,43477.0,37514.0,41091.0
Surkhandarya region,12367.0,12105.0,12559.0,11649.0,14036.0,12259.0,12207.0,13003.0,13719.0,15172.0,19220.0,25367.0,28291.0,31427.0,24657.0,23098.0,25065.0
Syrdarya region,6496.0,7219.0,7623.0,7423.0,7952.0,8195.0,8300.0,8993.0,9392.0,10367.0,13169.0,15425.0,15920.0,17259.0,13432.0,10717.0,12239.0
Tashkent region,16981.0,18746.0,20473.0,21333.0,22823.0,23954.0,24403.0,25019.0,26919.0,31030.0,38523.0,46173.0,50296.0,55472.0,45295.0,40500.0,46479.0
Fergana region,16879.0,18259.0,19016.0,19230.0,21173.0,21795.0,23083.0,23310.0,25571.0,29128.0,35379.0,42241.0,46622.0,52746.0,42574.0,34302.0,37846.0
Khorezm region,10527.0,10822.0,12044.0,12043.0,12502.0,13003.0,12899.0,13342.0,13674.0,14837.0,18614.0,21979.0,25160.0,28904.0,27089.0,23779.0,26957.0
Tashkent city,39174.0,40590.0,41669.0,42234.0,45250.0,46603.0,51024.0,55077.0,61284.0,69236.0,83846.0,95951.0,105603.0,117812.0,99151.0,96083.0,108678.0
